Classe,formula
Haletos com Metais de Transição,CdSn2Cl2O2
Haletos com Metais de Transição,CdZrI2S2
Haletos com Metais de Transição,Co2As4Br4O6
Haletos com Metais de Transição,Co2As4Cl4O6
Haletos com Metais de Transição,Co2Br2S2
Haletos com Metais de Transição,Co2Br4O6Sb4
Haletos com Metais de Transição,Co2Br6
Haletos com Metais de Transição,Co2Cl2Te2
Haletos com Metais de Transição,Co2ClS
Haletos com Metais de Transição,Co2I2O2
Haletos com Metais de Transição,Co2I2S4Sb2
Haletos com Metais de Transição,Co2I4O6P4
Haletos com Metais de Transição,Co2I4S6Sb4
Haletos com Metais de Transição,Co2I6
Haletos com Metais de Transição,Co2Mo2I2S8
Haletos com Metais de Transição,Co2NiBrS3Se
Haletos com Metais de Transição,Co2Sr3I2S5
Haletos com Metais de Transição,Co2W2Br2O8
Haletos com Metais de Transição,Co2W2I2S8
Haletos com Metais de Transição,Co5InBr2
Haletos com Metais de Transição,Co5InF2
Haletos com Metais de Transição,Co5TlCl2
Haletos com Metais de Transição,Co5TlF2
Haletos com Metais de Transição,CoB4Br2F4N2
Haletos com Metais de Transição,CoB4C2F4I2
Haletos com Metais de Transição,CoBr2C4F4N2
Haletos com Metais de Transição,CoBr2C4H4N2
Haletos com Metais de Transição,CoBr2C8F4
Haletos com Metais de Transição,CoBr2O8
Haletos com Metais de Transição,CoC2Cl2H4N4
Haletos com Metais de Transição,CoC2F2H4N6
Haletos com Metais de Transição,CoC4F6N2
Haletos com Metais de Transição,CoC4H4I2N2
Haletos com Metais de Transição,CoC6F8S4
Haletos com Metais de Transição,CoC6H4I2
Haletos com Metais de Transição,CoC8F6
Haletos com Metais de Transição,CoCl2
Haletos com Metais de Transição,CoF2S2
Haletos com Metais de Transição,CoHfBr6
Haletos com Metais de Transição,CoIrMnClO4
Haletos com Metais de Transição,CoMn3Ni2Cl7S7
Haletos com Metais de Transição,CoMnBr2O
Haletos com Metais de Transição,CoMnBr4
Haletos com Metais de Transição,CoMnRhBrTe3
Haletos com Metais de Transição,CoNi3I3Se
Haletos com Metais de Transição,CoNiBrCl3S2
Haletos com Metais de Transição,CoNiBrSeTe2
Haletos com Metais de Transição,CoZrF6
Haletos com Metais de Transição,Cr2BCl2
Haletos com Metais de Transição,Cr2Br2
Haletos com Metais de Transição,Cr2Br2Cl2
Haletos com Metais de Transição,Cr2Br2Te2
Haletos com Metais de Transição,Cr2Br4C16H16N8
Haletos com Metais de Transição,Cr2CCl2
Haletos com Metais de Transição,Cr2Cl2
Haletos com Metais de Transição,Cr2Cl8
Haletos com Metais de Transição,Cr2CuClIS3
Haletos com Metais de Transição,Cr2F2
Haletos com Metais de Transição,Cr2F2N2
Haletos com Metais de Transição,Cr2F4
Haletos com Metais de Transição,Cr2Ta3Br4CN3
Haletos com Metais de Transição,Cr3NiBrCl2SSe3
Haletos com Metais de Transição,Cr4C3F2
Haletos com Metais de Transição,CrB4ClH4S6
Haletos com Metais de Transição,CrB4FH4O6
Haletos com Metais de Transição,CrB4FH4S6
Haletos com Metais de Transição,CrBr2O
Haletos com Metais de Transição,CrBrCl
Haletos com Metais de Transição,CrBrIS2Si
Haletos com Metais de Transição,CrCl2O
Haletos com Metais de Transição,CrCl2S
Haletos com Metais de Transição,CrCuBr2S2
Haletos com Metais de Transição,CrFO2
Haletos com Metais de Transição,CrFe2RhISe3Te2
Haletos com Metais de Transição,CrMn3Br3OS2Se
Haletos com Metais de Transição,CrMnTaClI3S3
Haletos com Metais de Transição,CrMoCl6
Haletos com Metais de Transição,CrNbCl6
Haletos com Metais de Transição,CrOsWCl3S4
Haletos com Metais de Transição,CrTaCl6
Haletos com Metais de Transição,CrVCl2N2
Haletos com Metais de Transição,CrWCl6
Haletos com Metais de Transição,Cs2Hg4Br6O6Se2
Haletos com Metais de Transição,Cs2Hg4Br6O8
Haletos com Metais de Transição,Cs2Hg4Br6S6Se2
Haletos com Metais de Transição,Cs2Hg4Cl6O6Se2
Haletos com Metais de Transição,Cs2Hg4Cl6O6Te2
Haletos com Metais de Transição,Cs2Hg4Cl6O8
Haletos com Metais de Transição,Cs2Hg4Cl6S6Se2
Haletos com Metais de Transição,Cs2Hg4Cl6S6Te2
Haletos com Metais de Transição,Cs2Hg4F6O6Se2
Haletos com Metais de Transição,Cs2Hg4F6O6Te2
Haletos com Metais de Transição,Cs2Hg4I6O6Te2
Haletos com Metais de Transição,Cs2Os2Br8C2O4
Haletos com Metais de Transição,Cs2Os2C2I8O4
Haletos com Metais de Transição,Cs2Os2I8N2S4
Haletos com Metais de Transição,Cs4Hg2Cl8
Haletos com Metais de Transição,Cu2B2I2O2
Haletos com Metais de Transição,Cu2B2I2S2
Haletos com Metais de Transição,Cu2B4Cl2F4N2
Haletos com Metais de Transição,Cu2B4Cl2H4N2
Haletos com Metais de Transição,Cu2Br2C6F8N2
Haletos com Metais de Transição,Cu2Br2C6H4
Haletos com Metais de Transição,Cu2Br2GeO2
Haletos com Metais de Transição,Cu2Br2N2S2
Haletos com Metais de Transição,Cu2Br2S4
Haletos com Metais de Transição,Cu2Br2Sb4Te3
Haletos com Metais de Transição,Cu2C2Cl2O2
Haletos com Metais de Transição,Cu2C4Cl2H4N2
Haletos com Metais de Transição,Cu2C6Cl2H8N2
